127.0.0.1 - - [21/May/2018:13:06:37 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/May/2018:13:54:02 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:54:08 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:57:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:57:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:57:49 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:57:54 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:57:59 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:58:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:13:59:19 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:13:59:19 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:59:24 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:59:29 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:59:34 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:59:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:13:59:45 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:22:11:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:11:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:11:37 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:11:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:11:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:11:53 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:11:58 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:12:03 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:12:09 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [21/May/2018:22:16:40 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:16:40 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:16:45 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:16:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:22:18:10 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:18:10 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:18:15 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:18:21 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:22:19:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:19:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:19:37 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:19:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:22:22:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:22:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:22:48 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:22:53 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:22:58 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:23:03 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:23:08 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:23:13 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:23:19 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:22:29:57 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:29:57 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:30:02 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:30:07 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:30:12 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:30:18 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [21/May/2018:22:34:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:34:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:34:10 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:34:15 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [21/May/2018:22:35:46 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [21/May/2018:22:35:46 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:35:51 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/May/2018:22:35:56 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 110
