127.0.0.1 - - [13/Jun/2017:13:35:59 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:39:58 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:39:58 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:40:03 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:40:08 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:40:13 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:40:18 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:40:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:19 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:19 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:26 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:31 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:36 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:41 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:49 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:54 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:41:59 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:04 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:28 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:33 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:36 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:36 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:41 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:46 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:55 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:42:55 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:43:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:43:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:43:37 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:43:38 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:43:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:43:48 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:45:40 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:45:40 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:45:45 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:45:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:45:55 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:46:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:46:06 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:50:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:50:42 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:50:47 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:50:52 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:50:57 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:02 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:07 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:12 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:17 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:22 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:27 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:32 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:37 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:48 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:53 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:51:58 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:52:03 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:52:08 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:52:13 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:52:18 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:52:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 141
