127.0.0.1 - - [10/Oct/2017:13:03:43 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:28:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:28:28 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/ HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 200 17947
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:32 +0200] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 200 21182
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:34 +0200] "GET /cardioSHARE/images/HSFBCY.gif HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:34 +0200] "GET /cardioSHARE/images/CANARIE.png HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:34 +0200] "GET /cardioSHARE/images/CIHR.png HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:34 +0200] "GET /cardioSHARE/images/GenomeCanada.png HTTP/1.1" 200 17837
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:34 +0200] "GET /cardioSHARE/images/GenomeAlberta.png HTTP/1.1" 200 18020
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/style/images/bgtop.png HTTP/1.1" 200 18135
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/style/images/bgedge.png HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/style/images/welcome.png HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/style/images/bgbottom.png HTTP/1.1" 200 10072
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/style/images/header.png HTTP/1.1" 200 10298
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/resources/LSRN.json HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/favicon.ico HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:43:37 +0200] "GET /cardioSHARE/resources/props.json HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:11 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:44:49 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:45:13 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:45:13 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:45:18 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:45:25 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:45:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:45:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:45:55 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:46:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:48:33 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:48:33 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:48:38 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:48:43 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:49:01 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:49:01 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:49:06 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:49:17 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:49:18 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:49:23 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:49:28 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:51:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:51:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:51:55 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:52:21 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:52:21 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:52:26 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:52:54 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:52:54 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:52:59 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [10/Oct/2017:13:53:04 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 224
