127.0.0.1 - - [27/Nov/2017:11:33:30 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:36:19 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:36:24 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:36:29 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:36:34 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:45:19 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:45:19 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:45:24 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:45:29 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:45:34 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:45:40 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:02:07 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:02:07 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:02:12 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:02:17 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:02:22 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:02:28 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:44:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:44:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:20:44:57 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:42:32 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:42:32 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:42:37 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:42:42 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:42:47 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:42:53 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:42:58 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:03 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:08 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:13 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:18 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:23 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:28 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:33 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:38 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:43 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:48 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:53 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:43:58 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:44:04 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:45:47 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:45:47 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:45:52 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:45:57 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:02 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:07 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:12 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:17 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:22 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:27 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:32 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:37 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:42 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:48 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:53 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:46:58 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:03 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:08 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:13 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:20 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:20 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:26 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:31 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:36 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:41 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:46 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:47:56 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:01 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:06 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:11 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:16 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:21 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:26 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:31 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:37 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:42 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:48:47 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/ HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 200 21182
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 200 17947
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:50:55 +0100] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/ HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/style/jquery.sparqlassist.css HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/style/cardioSHARE.css HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/style/jquery.autocomplete.css HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/js/jquery.caret.js HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/js/jquery.autocomplete.js HTTP/1.1" 200 21182
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/js/queryForm.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/js/doAssist.js HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:03 +0100] "GET /cardioSHARE/js/jquery.sparqlassist.js HTTP/1.1" 200 17947
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:06 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:06 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:11 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:16 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:21 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:26 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:31 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:36 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:41 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:46 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [27/Nov/2017:23:52:57 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 256
